trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
5cf25be534a2c8a8,8571,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1444,571.4
07085444536cd323,4468,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1634,744.6666666666666
3ff9d3d7345fe237,4242,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1795,707.0
4d31b7842160e19c,8452,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1433,563.4666666666667
6a7d1515a9f00c48,3913,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1666,652.1666666666666
2b571029d694bc6b,3575,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1403,595.8333333333334
6eeada5afd5a910d,7867,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1387,524.4666666666667
3d85e4f527ec5773,5517,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1259,367.8
621a055b8ed374c1,5833,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1322,388.8666666666667
310d9316617fbdc0,3661,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1489,610.1666666666666
34d2bb27b520f20f,8327,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1313,555.1333333333333
1b807c3129240978,8959,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1674,597.2666666666667
4c48259d97a4b91d,9209,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1472,613.9333333333333
53f12f40450f86c0,5869,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1475,391.26666666666665
4452da1e36d4ff12,4969,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1276,331.26666666666665
3c0044016129cfe9,5709,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1368,380.6
227188b6b3d45b3b,9412,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1591,627.4666666666667
323c306d036f3687,7312,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1420,487.46666666666664
4095e07311945eea,3417,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1514,569.5
2c27b6a24e99364a,3170,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1144,528.3333333333334
50ccc01e61f0b8bd,7071,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1185,471.4
43e264cc3a504cc0,9044,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1487,602.9333333333333
7f13cb5c5a8d87c0,6633,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1717,442.2
0201c025052a61dc,8761,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1375,584.0666666666667
1e05df39a604345f,3145,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1293,524.1666666666666
685d464e54df24fb,8977,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1689,598.4666666666667
2f87faafac2c7576,3327,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1428,554.5
325d20bacae3c393,8631,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1447,575.4
791da99c8b1b45b6,3581,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1543,596.8333333333334
5958609b43cfffa6,7894,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1275,526.2666666666667
099da25a802c1998,3267,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1517,544.5
0fadc86123ee8e37,5606,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1218,373.73333333333335
10bd9d5316c9c1a9,6204,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1680,413.6
534ffb129a8c76fe,3845,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1560,640.8333333333334
5a2e9baa441eca81,10476,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,2528,698.4
48dd7794256b9640,4596,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1833,766.0
5cb60eb01785b2ff,6781,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1731,452.06666666666666
51338492506c41d3,5005,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1393,333.6666666666667
7766e96672699f1e,4974,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1350,331.6
140520078615d646,5782,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1568,385.46666666666664
422dc99434f7deb5,9084,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1516,605.6
54062e171d6447ab,9786,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1897,652.4
056cd06753998b93,4022,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1537,670.3333333333334
471fe9a304c583fd,9178,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1808,611.8666666666667
338f8d9543979ad7,3198,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1288,533.0
3f6419cc218e1962,9395,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1754,626.3333333333334
0c178af6735a04d4,3948,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1544,658.0
538f6ed8a1ac9df6,3039,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1214,506.5
4b7bc38142a15cc0,5934,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1502,395.6
225aea72ca1f1d44,4518,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1035,301.2
3143e41e8de52f4b,9122,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1510,608.1333333333333
6b4bdc2c4db3130f,4867,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1134,324.46666666666664
0e5a6660a3bb6eb6,3016,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1151,502.6666666666667
76b4652bfc76e739,7694,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1102,512.9333333333333
27feb6529cb0ef28,7268,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1035,484.53333333333336
45421e00cb315c80,4153,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1863,692.1666666666666
45471793dca78c2d,7712,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1488,514.1333333333333
3d47a8722ba1ac83,3965,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1871,660.8333333333334
7ef5513c128aca4c,6268,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1683,417.8666666666667
72a2ff4f2bea012b,5635,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1433,375.6666666666667
01a6ec07fb79ce21,3267,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1400,544.5
1cddadf05250e4a9,5998,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1636,399.8666666666667
1a91008d36573509,7429,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1054,495.26666666666665
0e1f087d42d2761b,6185,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,939,412.3333333333333
19ebbb49000a73a6,3846,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1468,641.0
61db46c557e784d2,6123,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1678,408.2
2d6b2d9aa45ee227,6409,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1576,427.26666666666665
692112aeb7be21f8,5514,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1352,367.6
36b0b165353d0413,3906,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1531,651.0
133e578af4cd2835,2978,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1180,496.3333333333333
786e86776d8c0d9a,4010,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,profile,1506,668.3333333333334
442ca1a08316ebef,6046,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1834,403.06666666666666
4a79098c95799145,8439,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1536,562.6
1e6fbf8f27b1b521,3419,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1315,569.8333333333334
1764112067250aff,6068,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1565,404.53333333333336
5047e3a3a697a4bc,8304,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1267,553.6
5c81a3a493d8e550,3005,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1071,500.8333333333333
0edda56664443668,8581,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1417,572.0666666666667
27a58493b47a16df,3957,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1479,659.5
2c647954225359ee,7288,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1303,485.8666666666667
0cafd20d6f44fa14,2991,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1127,498.5
7dfc439a4bc47059,21427,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,16384,1428.4666666666667
37f5b3a07f214cbf,9492,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1717,632.8
241dce68f90b78be,5831,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,2159,388.73333333333335
4d99f265094a164e,6654,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1217,443.6
3fbc3abe69dd2a59,6438,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1724,429.2
64167ab1786f911b,8587,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1424,572.4666666666667
1584337b1896637f,6431,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1532,428.73333333333335
28590f866be49d11,9631,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1683,642.0666666666667
0f1cdb3b85db3a7c,8768,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1695,584.5333333333333
78d267bd19278ff4,5379,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1307,358.6
18f40ffffd86426c,9001,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1672,600.0666666666667
5999f08f96ae1bee,5689,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1519,379.26666666666665
67d369fa814f3112,9166,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1669,611.0666666666667
08cf212ae02c2743,5398,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1424,359.8666666666667
1a0f8983bd56c2b6,6650,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1728,443.3333333333333
261d973fcb1a20dd,6041,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1693,402.73333333333335
6d5db0bb225322fc,4206,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1111,280.4
573949826d54a4a8,5339,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1294,355.93333333333334
4adb1784aec3281d,8945,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1511,596.3333333333334
567b76ccf9b82201,5375,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1499,358.3333333333333
3ff5a57c3be1109d,5766,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1388,384.4
00c51e5b2055e0c8,8429,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1410,561.9333333333333
29534b9d394f068a,8140,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1557,542.6666666666666
2fd382c03c0cec9d,6125,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1829,408.3333333333333
07de6c7ba336ead1,8714,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1686,580.9333333333333
5743424f3d160571,7490,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1145,499.3333333333333
0b2833160bf91caa,6256,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1477,417.06666666666666
6e88648b885580b4,6012,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1523,400.8
6dc24a99182a4043,6662,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,2240,444.1333333333333
728be868e474c1d9,5478,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1423,365.2
66899b35b5dcfb01,6787,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1643,452.46666666666664
748d0a3fae2cef35,5693,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1571,379.53333333333336
54fe62d18c830752,8368,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1717,557.8666666666667
64ae020b2d6f640a,5447,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1826,363.1333333333333
2e47bab7e11efff6,5610,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1256,374.0
4e5e4b1994486e8b,5890,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1477,392.6666666666667
02592c5bd9ad1c5f,6183,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1677,412.2
4cf1084ab599471a,8461,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1434,564.0666666666667
33ee64c649be09ff,5441,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1251,362.73333333333335
6ce6b82467fd9828,5137,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1284,342.46666666666664
77d24a6786d3a2b8,4913,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1173,327.53333333333336
6b9c09f161b6915e,9746,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1732,649.7333333333333
4638a2d8abc6def1,8340,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,4039,556.0
479fb75c9d734235,6361,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1599,424.06666666666666
63b6b7dc265104e4,6011,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1526,400.73333333333335
67d91e073cb991e3,6279,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1605,418.6
400e759892462184,5878,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1356,391.8666666666667
0b49255c69ffba2b,5571,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1454,371.4
5cf25be534a2c8a8,8571,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1444,571.4
4d31b7842160e19c,8452,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1433,563.4666666666667
6eeada5afd5a910d,7867,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1387,524.4666666666667
3d85e4f527ec5773,5517,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1259,367.8
621a055b8ed374c1,5833,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1322,388.8666666666667
34d2bb27b520f20f,8327,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1313,555.1333333333333
1b807c3129240978,8959,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1674,597.2666666666667
4c48259d97a4b91d,9209,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1472,613.9333333333333
53f12f40450f86c0,5869,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1475,391.26666666666665
4452da1e36d4ff12,4969,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1276,331.26666666666665
3c0044016129cfe9,5709,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1368,380.6
227188b6b3d45b3b,9412,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1591,627.4666666666667
323c306d036f3687,7312,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1420,487.46666666666664
50ccc01e61f0b8bd,7071,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1185,471.4
43e264cc3a504cc0,9044,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1487,602.9333333333333
7f13cb5c5a8d87c0,6633,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1717,442.2
0201c025052a61dc,8761,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1375,584.0666666666667
685d464e54df24fb,8977,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1689,598.4666666666667
325d20bacae3c393,8631,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1447,575.4
5958609b43cfffa6,7894,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1275,526.2666666666667
0fadc86123ee8e37,5606,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1218,373.73333333333335
10bd9d5316c9c1a9,6204,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1680,413.6
5a2e9baa441eca81,10476,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,2528,698.4
5cb60eb01785b2ff,6781,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1731,452.06666666666666
51338492506c41d3,5005,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1393,333.6666666666667
7766e96672699f1e,4974,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1350,331.6
140520078615d646,5782,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1568,385.46666666666664
422dc99434f7deb5,9084,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1516,605.6
54062e171d6447ab,9786,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1897,652.4
471fe9a304c583fd,9178,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1808,611.8666666666667
3f6419cc218e1962,9395,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1754,626.3333333333334
4b7bc38142a15cc0,5934,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1502,395.6
225aea72ca1f1d44,4518,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1035,301.2
3143e41e8de52f4b,9122,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1510,608.1333333333333
6b4bdc2c4db3130f,4867,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1134,324.46666666666664
76b4652bfc76e739,7694,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1102,512.9333333333333
27feb6529cb0ef28,7268,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1035,484.53333333333336
45471793dca78c2d,7712,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1488,514.1333333333333
7ef5513c128aca4c,6268,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1683,417.8666666666667
72a2ff4f2bea012b,5635,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1433,375.6666666666667
1cddadf05250e4a9,5998,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1636,399.8666666666667
1a91008d36573509,7429,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1054,495.26666666666665
0e1f087d42d2761b,6185,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,939,412.3333333333333
61db46c557e784d2,6123,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1678,408.2
2d6b2d9aa45ee227,6409,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1576,427.26666666666665
692112aeb7be21f8,5514,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1352,367.6
442ca1a08316ebef,6046,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1834,403.06666666666666
4a79098c95799145,8439,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1536,562.6
1764112067250aff,6068,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1565,404.53333333333336
5047e3a3a697a4bc,8304,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1267,553.6
0edda56664443668,8581,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1417,572.0666666666667
2c647954225359ee,7288,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1303,485.8666666666667
7dfc439a4bc47059,21427,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,16384,1428.4666666666667
77d24a6786d3a2b8,4913,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1173,327.53333333333336
6b9c09f161b6915e,9746,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1732,649.7333333333333
21968f4bbe78881c,2698,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1266,449.6666666666667
4638a2d8abc6def1,8340,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,4039,556.0
50df7d7b3ee7d396,3823,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1553,637.1666666666666
0e56f27ae303d4a4,9345,5,False,0.0,,HTTP POST /reservation,user; reservation; frontend,reservation,6618,1869.0
479fb75c9d734235,6361,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1599,424.06666666666666
4537e2757663209d,3640,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1490,606.6666666666666
0a890a4b35d01d63,3525,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1373,587.5
3d5ffb9ad3c417fa,3719,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1376,619.8333333333334
477d20d3952514c8,3794,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1640,632.3333333333334
410935cb9195adf8,3201,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1256,533.5
63b6b7dc265104e4,6011,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1526,400.73333333333335
67d91e073cb991e3,6279,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1605,418.6
400e759892462184,5878,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1356,391.8666666666667
0b49255c69ffba2b,5571,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1454,371.4
5cf25be534a2c8a8,8571,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1444,571.4
07085444536cd323,4468,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1634,744.6666666666666
3ff9d3d7345fe237,4242,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1795,707.0
3b8b3178139ff922,10374,5,False,0.0,,HTTP POST /reservation,user; reservation; frontend,reservation,7083,2074.8
4d31b7842160e19c,8452,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1433,563.4666666666667
6a7d1515a9f00c48,3913,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1666,652.1666666666666
2b571029d694bc6b,3575,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1403,595.8333333333334
6eeada5afd5a910d,7867,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1387,524.4666666666667
3d85e4f527ec5773,5517,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1259,367.8
621a055b8ed374c1,5833,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1322,388.8666666666667
310d9316617fbdc0,3661,6,False,0.0,,HTTP GET /recommendations,profile; recommendation; frontend,frontend,1489,610.1666666666666
1a37358a4d03dcac,11848,5,False,0.0,,HTTP POST /reservation,user; reservation; frontend,reservation,9255,2369.6
34d2bb27b520f20f,8327,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1313,555.1333333333333
1b807c3129240978,8959,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1674,597.2666666666667
4c48259d97a4b91d,9209,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1472,613.9333333333333
53f12f40450f86c0,5869,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,search,1475,391.26666666666665
4452da1e36d4ff12,4969,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1276,331.26666666666665
3c0044016129cfe9,5709,15,False,0.0,,HTTP GET /hotels,profile; rate; reservation; frontend; search; geo,frontend,1368,380.6
